Rating Date,Team,Division,Rating Score
15/1/2022 (v4.1),Dallas Stars,CEN,0.485
15/1/2022 (v4.1),Detroit Red Wings,ATL,0.313
15/1/2022 (v4.1),Edmonton Oilers,PAC,0.405
15/1/2022 (v4.1),Florida Panthers,ATL,0.794
15/1/2022 (v4.1),Los Angeles Kings,PAC,0.616
15/1/2022 (v4.1),Minnesota Wild,CEN,0.598
15/1/2022 (v4.1),Montreal Canadiens,ATL,0.127
15/1/2022 (v4.1),Nashville Predators,CEN,0.676
15/1/2022 (v4.1),New Jersey Devils,MET,0.316
15/1/2022 (v4.1),New York Islanders,MET,0.427
15/1/2022 (v4.1),New York Rangers,MET,0.682
15/1/2022 (v4.1),Ottawa Senators,ATL,0.398
15/1/2022 (v4.1),Philadelphia Flyers,MET,0.260
15/1/2022 (v4.1),Pittsburgh Penguins,MET,0.708
15/1/2022 (v4.1),San Jose Sharks,PAC,0.468
15/1/2022 (v4.1),Seattle Kraken,PAC,0.199
15/1/2022 (v4.1),St. Louis Blues,CEN,0.689
15/1/2022 (v4.1),Tampa Bay Lightning,ATL,0.685
15/1/2022 (v4.1),Toronto Maple Leafs,ATL,0.763
15/1/2022 (v4.1),Vancouver Canucks,PAC,0.438
15/1/2022 (v4.1),Vegas Golden Knights,PAC,0.633
15/1/2022 (v4.1),Washington Capitals,MET,0.554
15/1/2022 (v4.1),Winnipeg Jets,CEN,0.521
22/1/2022 (v4.5),Anaheim Ducks,PAC,0.414
22/1/2022 (v4.5),Arizona Coyotes,CEN,0.232
22/1/2022 (v4.5),Boston Bruins,ATL,0.729
22/1/2022 (v4.5),Buffalo Sabres,ATL,0.233
22/1/2022 (v4.5),Calgary Flames,CEN,0.488
22/1/2022 (v4.5),Carolina Hurricanes,MET,0.782
22/1/2022 (v4.5),Chicago Blackhawks,CEN,0.295
22/1/2022 (v4.5),Colorado Avalanche,CEN,0.746
22/1/2022 (v4.5),Columbus Blue Jackets,MET,0.358
22/1/2022 (v4.5),Dallas Stars,CEN,0.529
22/1/2022 (v4.5),Detroit Red Wings,ATL,0.338
22/1/2022 (v4.5),Edmonton Oilers,PAC,0.442
22/1/2022 (v4.5),Florida Panthers,ATL,0.751
22/1/2022 (v4.5),Los Angeles Kings,PAC,0.500
22/1/2022 (v4.5),Minnesota Wild,CEN,0.607
22/1/2022 (v4.5),Montreal Canadiens,ATL,0.164
22/1/2022 (v4.5),Nashville Predators,CEN,0.654
22/1/2022 (v4.5),New Jersey Devils,MET,0.348
22/1/2022 (v4.5),New York Islanders,MET,0.426
