Forward	Power Play Utilization Base	Team
403 Vinnie Hinostroza	0.004056047197640118	Buffalo Sabres
404 Austin Watson	0.004056047197640118	Ottawa Senators
405 Brandon Duhaime	0.003993055555555556	Minnesota Wild
406 Ty Dellandrea	0.003713768115942029	Dallas Stars
407 Jaret Anderson-Dolan	0.003703703703703704	Los Angeles Kings
408 Brad Malone	0.0035493827160493828	Edmonton Oilers
409 Axel Jonsson-Fjallby	0.0035185185185185185	Winnipeg Jets
410 Aleksi Heponiemi	0.0033333333333333335	Florida Panthers
411 Mattias Janmark	0.0033179012345679014	Edmonton Oilers
412 Rasmus Asplund	0.0032448377581120944	Buffalo Sabres
413 Eric Robinson	0.003059071729957806	Columbus Blue Jackets
414 Warren Foegele	0.0030092592592592593	Edmonton Oilers
415 Derek Grant	0.0030038759689922485	Anaheim Ducks
416 Keegan Kolesar	0.00299625468164794	Vegas Golden Knights
417 Alexey Toropchenko	0.002953586497890295	St. Louis Blues
418 Morgan Geekie	0.002688172043010753	Seattle Kraken
419 Curtis Lazar	0.0026402640264026403	Vancouver Canucks
420 Nathan Walker	0.002426160337552743	St. Louis Blues
421 Garnet Hathaway	0.0023919753086419754	Washington Capitals
422 Jayson Megna	0.002325581395348837	Anaheim Ducks
423 A.J. Greer	0.0022522522522522522	Boston Bruins
424 Mason Appleton	0.0021296296296296298	Winnipeg Jets
425 Karson Kuhlman	0.0021296296296296298	Winnipeg Jets
426 Nicolas Aube-Kubel	0.001851851851851852	Washington Capitals
427 Patrick Brown	0.0017921146953405018	Philadelphia Flyers
428 Brett Howden	0.0017790262172284643	Vegas Golden Knights
429 Brock McGinn	0.0017326732673267325	Pittsburgh Penguins
430 Tyler Pitlick	0.0015822784810126582	St. Louis Blues
431 Dylan Gambrell	0.0014011799410029498	Ottawa Senators
432 Jonah Gadjovich	0.0013541666666666667	San Jose Sharks
433 Wayne Simmonds	0.0012376237623762376	Toronto Maple Leafs
434 Reese Johnson	0.000992063492063492	Chicago Blackhawks
435 Ross Johnston	0.0009259259259259259	New York Islanders
436 Boris Katchouk	0.0008928571428571428	Chicago Blackhawks
437 Julien Gauthier	0.0007653061224489796	New York Rangers
438 Jake Leschyshyn	0.000749063670411985	Vegas Golden Knights
439 Pierre-Edouard Bellemare	0.0005451713395638629	Tampa Bay Lightning
440 Liam Foudy	0.0004219409282700422	Columbus Blue Jackets
441 Zack Kassian	0.0003745318352059925	Arizona Coyotes
442 Trent Frederic	0.00022522522522522523	Boston Bruins
443 Rasmus Kupari	0.00021367521367521368	Los Angeles Kings
444 Carson Meyer	0.00010548523206751055	Columbus Blue Jackets
445 Sampo Ranta	0.0	Colorado Avalanche
446 Mathieu Olivier	0.0	Columbus Blue Jackets
447 Matt Luff	0.0	Detroit Red Wings
448 Klim Kostin	0.0	Edmonton Oilers
449 Samuel Fagemo	0.0	Los Angeles Kings
450 Ryan Reaves	0.0	Minnesota Wild
451 Samuel Walker	0.0	Minnesota Wild
452 Michael Pezzetta	0.0	Montréal Canadiens
453 Andreas Johnsson	0.0	New Jersey Devils
454 Hudson Fasching	0.0	New York Islanders
455 Jonny Brodzinski	0.0	New York Rangers
456 Rourke Chartier	0.0	Ottawa Senators
457 Jacob Lucchini	0.0	Ottawa Senators
458 Max Willman	0.0	Philadelphia Flyers
459 Olle Lycksell	0.0	Philadelphia Flyers
460 Drew O'Connor	0.0	Pittsburgh Penguins
461 CJ Suess	0.0	San Jose Sharks
462 William Bitten	0.0	St. Louis Blues
463 Kevin Stenlund	0.0	Winnipeg Jets
