Forward	Even Strength Utilization Base	Team
368 Julien Gauthier	0.10089682539682539	New York Rangers
369 Mark Jankowski	0.10015232974910394	Nashville Predators
370 Vinnie Hinostroza	0.0993142361111111	Buffalo Sabres
371 Jack Drury	0.09911616161616162	Carolina Hurricanes
372 Alexey Toropchenko	0.09668350168350169	St. Louis Blues
373 Jonathan Drouin	0.09656565656565656	Montréal Canadiens
374 Sheldon Dries	0.09620659722222222	Vancouver Canucks
375 Martin Kaut	0.0960931899641577	Colorado Avalanche
376 Tyler Pitlick	0.0949074074074074	St. Louis Blues
377 Jaret Anderson-Dolan	0.09460648148148147	Los Angeles Kings
378 Craig Smith	0.09401041666666667	Boston Bruins
379 Nathan Walker	0.09392255892255892	St. Louis Blues
380 Rasmus Kupari	0.09328703703703704	Los Angeles Kings
381 James van Riemsdyk	0.09301470588235294	Philadelphia Flyers
382 Elmer Soderblom	0.09234375	Detroit Red Wings
383 Tanner Laczynski	0.09144607843137255	Philadelphia Flyers
384 Wade Allison	0.09001633986928104	Philadelphia Flyers
385 Pontus Holmberg	0.08976307189542485	Toronto Maple Leafs
386 Karson Kuhlman	0.0869023569023569	Winnipeg Jets
387 Liam Foudy	0.0863454861111111	Columbus Blue Jackets
388 Rudolfs Balcers	0.08633680555555556	Tampa Bay Lightning
389 Teddy Blueger	0.0858838383838384	Pittsburgh Penguins
390 Klim Kostin	0.08480392156862746	Edmonton Oilers
391 Tanner Pearson	0.08358506944444444	Vancouver Canucks
392 Derek Grant	0.08285947712418301	Anaheim Ducks
393 Michael Eyssimont	0.08118686868686868	Winnipeg Jets
394 Zack Kassian	0.08087813620071685	Arizona Coyotes
395 Sam Carrick	0.08077614379084967	Anaheim Ducks
396 Ryan Hartman	0.08034511784511784	Minnesota Wild
397 Boris Katchouk	0.07905913978494625	Chicago Blackhawks
398 Jonah Gadjovich	0.07832539682539683	San Jose Sharks
399 Jayson Megna	0.07725490196078431	Anaheim Ducks
400 Jack Studnicka	0.07703125000000001	Vancouver Canucks
401 Patric Hornqvist	0.07607843137254901	Florida Panthers
402 Jakub Voracek	0.07332465277777778	Columbus Blue Jackets
403 Jake Leschyshyn	0.07288095238095238	Vegas Golden Knights
404 Alex Iafallo	0.07276234567901234	Los Angeles Kings
405 Patrick Brown	0.07276143790849673	Philadelphia Flyers
406 Ben Meyers	0.07239247311827958	Colorado Avalanche
407 Simon Holmstrom	0.07148692810457517	New York Islanders
408 Nicholas Robertson	0.07113562091503269	Toronto Maple Leafs
409 Dylan Gambrell	0.07072390572390572	Ottawa Senators
410 Vitali Kravtsov	0.07025396825396825	New York Rangers
411 Eeli Tolvanen	0.0690625	Seattle Kraken
412 Michael McCarron	0.06896953405017921	Nashville Predators
413 Nicolas Aube-Kubel	0.06677777777777777	Washington Capitals
414 Brendan Lemieux	0.06410493827160493	Los Angeles Kings
415 Michael Pezzetta	0.06393097643097642	Montréal Canadiens
416 Anthony Cirelli	0.06311631944444444	Tampa Bay Lightning
417 Brandon Duhaime	0.06216329966329966	Minnesota Wild
418 Tyler Bertuzzi	0.061189236111111114	Detroit Red Wings
419 Tyler Johnson	0.05878136200716846	Chicago Blackhawks
420 Alexander Holtz	0.057323232323232325	New Jersey Devils
421 Filip Zadina	0.057248263888888894	Detroit Red Wings
422 Kirill Marchenko	0.05051215277777778	Columbus Blue Jackets
423 Ondrej Palat	0.04786195286195286	New Jersey Devils
424 Jean-Luc Foudy	0.04485663082437276	Colorado Avalanche
425 Zac Dalpe	0.04236928104575163	Florida Panthers
426 Charles Hudon	0.04059139784946236	Colorado Avalanche
427 Max Willman	0.039542483660130724	Philadelphia Flyers
428 Jonny Brodzinski	0.03881746031746032	New York Rangers
429 Hudson Fasching	0.03823529411764706	New York Islanders
430 James Hamblin	0.03476307189542484	Edmonton Oilers
431 Josh Norris	0.03417508417508418	Ottawa Senators
432 Justin Danforth	0.034140625	Columbus Blue Jackets
433 Matt Luff	0.030737847222222222	Detroit Red Wings
434 Kevin Stenlund	0.029116161616161616	Winnipeg Jets
435 Carson Meyer	0.028480902777777775	Columbus Blue Jackets
436 Joe Snively	0.027857142857142858	Washington Capitals
437 Logan Brown	0.0271969696969697	St. Louis Blues
438 Rourke Chartier	0.02643939393939394	Ottawa Senators
439 Joey Anderson	0.026176470588235294	Toronto Maple Leafs
440 Wayne Simmonds	0.02606209150326797	Toronto Maple Leafs
441 Connor Brown	0.024912698412698414	Washington Capitals
442 Ross Johnston	0.021315359477124183	New York Islanders
443 Sampo Ranta	0.019363799283154123	Colorado Avalanche
444 Samuel Walker	0.0185016835016835	Minnesota Wild
