Forward	Penalty Kill Utilization Base	Team
441 Robby Fabbri	0.0	Detroit Red Wings
442 Klim Kostin	0.0	Edmonton Oilers
443 Patric Hornqvist	0.0	Florida Panthers
444 Samuel Fagemo	0.0	Los Angeles Kings
445 Alex Belzile	0.0	Montréal Canadiens
446 Alexander Holtz	0.0	New Jersey Devils
447 Ross Johnston	0.0	New York Islanders
448 Aatu Raty	0.0	New York Islanders
449 Sammy Blais	0.0	New York Rangers
450 Vitali Kravtsov	0.0	New York Rangers
451 Kieffer Bellows	0.0	Philadelphia Flyers
452 Kevin Labanc	0.0	San Jose Sharks
453 Evgeny Svechnikov	0.0	San Jose Sharks
454 Michael Eyssimont	0.0	San Jose Sharks
455 John Hayden	0.0	Seattle Kraken
456 Daniel Sprong	0.0	Seattle Kraken
457 Josh Leivo	0.0	St. Louis Blues
458 Logan Brown	0.0	St. Louis Blues
459 Pat Maroon	0.0	Tampa Bay Lightning
460 Wayne Simmonds	0.0	Toronto Maple Leafs
461 Dryden Hunt	0.0	Toronto Maple Leafs
462 Bobby McMann	0.0	Toronto Maple Leafs
463 Lane Pederson	0.0	Vancouver Canucks
464 Pavel Dorofeyev	0.0	Vegas Golden Knights
465 Jonathan Marchessault	0.0	Vegas Golden Knights
466 Michael Amadio	0.0	Vegas Golden Knights
467 Nikolaj Ehlers	0.0	Winnipeg Jets
