Forward	Penalty Kill Utilization Corrected	Team
302 Auston Matthews	0.19059241991707754	Toronto Maple Leafs
303 Kyle Palmieri	0.19021105337269983	New York Islanders
304 Jake Guentzel	0.18962414573791173	Pittsburgh Penguins
305 Mason McTavish	0.18953686833837827	Anaheim Ducks
306 Ryan Donato	0.1895300458988765	Seattle Kraken
307 Jesper Bratt	0.1889440328189227	New Jersey Devils
308 Chris Tierney	0.18880796346306772	Florida Panthers
309 Mikko Rantanen	0.18874796874665611	Colorado Avalanche
310 Nicolas Aube-Kubel	0.18869574249865367	Washington Capitals
311 Byron Froese	0.18815555216963237	Vegas Golden Knights
312 Miles Wood	0.18751378693691476	New Jersey Devils
313 Lucas Raymond	0.18731206292102082	Detroit Red Wings
314 Jeff Skinner	0.18726880387428219	Buffalo Sabres
315 Alex Ovechkin	0.18681536617202404	Washington Capitals
316 T.J. Oshie	0.18641431137375053	Washington Capitals
317 Jesse Ylonen	0.1862477309533566	Montréal Canadiens
318 David Pastrnak	0.18608958197461498	Boston Bruins
319 Tyler Pitlick	0.18577432435434388	St. Louis Blues
320 Rudolfs Balcers	0.18489897882622222	Tampa Bay Lightning
321 Vladimir Tarasenko	0.1840367396506973	St. Louis Blues
322 Viktor Arvidsson	0.18401257491620926	Los Angeles Kings
323 Brayden Point	0.18381005959047125	Tampa Bay Lightning
324 Zack MacEwen	0.18351169180622903	Philadelphia Flyers
325 Jonathan Gruden	0.18341706033913596	Pittsburgh Penguins
326 Drake Batherson	0.18341691044838299	Ottawa Senators
327 Andrei Svechnikov	0.1825305386323285	Carolina Hurricanes
328 Carter Verhaeghe	0.18245372819585673	Florida Panthers
329 Tyler Johnson	0.1821082844806008	Chicago Blackhawks
330 Conor Garland	0.18176653659397335	Vancouver Canucks
331 Kirill Kaprizov	0.1817555247889289	Minnesota Wild
332 Matt Martin	0.1816667448541731	New York Islanders
333 Artemi Panarin	0.18134334526150242	New York Rangers
334 Phil Kessel	0.1811941668596304	Vegas Golden Knights
335 Mike Hoffman	0.18084387711835995	Montréal Canadiens
336 Filip Forsberg	0.1806441326050964	Nashville Predators
337 Jake Neighbours	0.18059938588393393	St. Louis Blues
338 Colin White	0.18050241127718483	Florida Panthers
339 Kevin Fiala	0.1804284730526159	Los Angeles Kings
340 Tanner Laczynski	0.18018750221188046	Philadelphia Flyers
341 Max Domi	0.180004179103341	Chicago Blackhawks
342 Victor Olofsson	0.1799865170999813	Buffalo Sabres
343 Jordan Kyrou	0.1799798180732412	St. Louis Blues
344 Evgeni Malkin	0.1798400400454794	Pittsburgh Penguins
345 Jordan Eberle	0.17955529537174666	Seattle Kraken
346 Gabriel Vilardi	0.1794604896457351	Los Angeles Kings
347 Dylan Guenther	0.1793772402572184	Arizona Coyotes
348 Trevor Zegras	0.17934928832418387	Anaheim Ducks
349 Ryan Johansen	0.17924593403856112	Nashville Predators
350 Juuso Parssinen	0.1791387314429667	Nashville Predators
351 Zack Kassian	0.17907072101670754	Arizona Coyotes
352 Mathew Barzal	0.17892707367271155	New York Islanders
353 Nick Cousins	0.17876017292987528	Florida Panthers
354 Sam Gagner	0.17870084245610254	Winnipeg Jets
355 Fabian Zetterlund	0.178482389446337	New Jersey Devils
356 Filip Chytil	0.1784073834947706	New York Rangers
357 Mason Marchment	0.17827972744056905	Dallas Stars
358 Seth Jarvis	0.1782571088753468	Carolina Hurricanes
359 Nicklas Backstrom	0.17814513485652964	Washington Capitals
360 Alexander Barabanov	0.17804717197501596	San Jose Sharks
361 Ondrej Kase	0.1778232681244203	Carolina Hurricanes
362 Dylan Strome	0.1777586245191873	Washington Capitals
363 Vasily Podkolzin	0.17775559292154836	Vancouver Canucks
364 Dominik Kubalik	0.17764951253411063	Detroit Red Wings
365 Matt Duchene	0.17753670428276733	Nashville Predators
366 John Tavares	0.17744884401886402	Toronto Maple Leafs
367 Andrei Kuzmenko	0.1773583383746169	Vancouver Canucks
368 Johnny Gaudreau	0.17735251871165847	Columbus Blue Jackets
369 Brendan Lemieux	0.17721765032606268	Los Angeles Kings
370 Carson Meyer	0.1770031003141488	Columbus Blue Jackets
371 Filip Zadina	0.17698400308285775	Detroit Red Wings
372 Sheldon Dries	0.17682974938166207	Vancouver Canucks
373 Adam Ruzicka	0.1768269597912044	Calgary Flames
374 Patrick Kane	0.17675457835154854	Chicago Blackhawks
375 Nick Ritchie	0.17673433884290346	Arizona Coyotes
376 Ben Meyers	0.1766485916178986	Colorado Avalanche
377 Taylor Hall	0.17641750561889333	Boston Bruins
378 Nicholas Robertson	0.17637638012744097	Toronto Maple Leafs
379 Anthony Mantha	0.17634704356389766	Washington Capitals
380 Brock Boeser	0.17603918640532273	Vancouver Canucks
381 Cole Caufield	0.17587023719773442	Montréal Canadiens
382 Milan Lucic	0.17579027317692686	Calgary Flames
383 Rickard Rakell	0.1756197941565077	Pittsburgh Penguins
384 Kent Johnson	0.17549519747216547	Columbus Blue Jackets
385 Anders Lee	0.1753652036445282	New York Islanders
386 A.J. Greer	0.1753437796419789	Boston Bruins
387 Patrik Laine	0.17526411207297996	Columbus Blue Jackets
388 Jason Robertson	0.17524602446406218	Dallas Stars
389 Corey Perry	0.1751610207035224	Tampa Bay Lightning
390 Jonathan Drouin	0.17515397515518133	Montréal Canadiens
391 Dylan Holloway	0.1751396843430094	Edmonton Oilers
392 Tyler Bertuzzi	0.17513099060579165	Detroit Red Wings
393 Stefan Noesen	0.1751305026772308	Carolina Hurricanes
394 Paul Cotter	0.1750147684041683	Vegas Golden Knights
395 Brendan Gallagher	0.1748477098194638	Montréal Canadiens
396 Nikita Kucherov	0.17481253396425533	Tampa Bay Lightning
397 Nino Niederreiter	0.17478650742237237	Nashville Predators
398 Denis Gurianov	0.174601259577036	Dallas Stars
399 Charles Hudon	0.17437459290334184	Colorado Avalanche
400 Julien Gauthier	0.1743336959759021	New York Rangers
401 Tomas Tatar	0.17427957919218554	New Jersey Devils
402 Brett Ritchie	0.17424421763245998	Calgary Flames
403 Givani Smith	0.1741785762574473	Florida Panthers
404 Tommy Novak	0.17415663579269489	Nashville Predators
405 Danton Heinen	0.17411509049254575	Pittsburgh Penguins
406 Jonatan Berggren	0.17407900544837504	Detroit Red Wings
407 Craig Smith	0.1740621086160031	Boston Bruins
408 Jonah Gadjovich	0.17406043296764487	San Jose Sharks
409 Sonny Milano	0.174056210390249	Washington Capitals
410 Arthur Kaliyev	0.17405183150649478	Los Angeles Kings
411 Andre Burakovsky	0.1740420289199154	Seattle Kraken
412 Juraj Slafkovsky	0.17403306584665915	Montréal Canadiens
413 Michael Bunting	0.17401137634801614	Toronto Maple Leafs
414 Cole Perfetti	0.17394613913021845	Winnipeg Jets
415 Wade Allison	0.1739371122863152	Philadelphia Flyers
416 Oliver Bjorkstrand	0.17391829444548607	Seattle Kraken
417 Denis Malgin	0.1738988092061833	Colorado Avalanche
418 Anton Blidh	0.1738988092061833	Colorado Avalanche
419 Jason Zucker	0.1737692994831285	Pittsburgh Penguins
420 Ryan Reaves	0.17376041112072174	Minnesota Wild
421 Jesse Puljujarvi	0.17372584189881474	Edmonton Oilers
422 James van Riemsdyk	0.17368043201503192	Philadelphia Flyers
423 Ross Colton	0.1736548581655112	Tampa Bay Lightning
424 David Perron	0.17355488593604054	Detroit Red Wings
425 Oliver Wahlstrom	0.17354487395255427	New York Islanders
426 Hudson Fasching	0.17354487395255427	New York Islanders
427 Justin Kirkland	0.17342405100640484	Anaheim Ducks
428 Michael Carcone	0.17342405100640484	Arizona Coyotes
429 Jakob Pelletier	0.17342405100640484	Calgary Flames
430 Walker Duehr	0.17342405100640484	Calgary Flames
431 Max Pacioretty	0.17342405100640484	Carolina Hurricanes
432 Taylor Raddysh	0.17342405100640484	Chicago Blackhawks
433 Sampo Ranta	0.17342405100640484	Colorado Avalanche
434 Jean-Luc Foudy	0.17342405100640484	Colorado Avalanche
435 Jakub Voracek	0.17342405100640484	Columbus Blue Jackets
436 Yegor Chinakhov	0.17342405100640484	Columbus Blue Jackets
