Forward	Plus_Minus Corrected	Team
432 Mason McTavish	0.08755550237208021	Anaheim Ducks
433 Barrett Hayton	0.08633713121102941	Arizona Coyotes
434 Travis Boyd	0.07691278051270972	Arizona Coyotes
435 Taylor Raddysh	0.07691278051270972	Chicago Blackhawks
436 Austin Watson	0.07647805819464695	Ottawa Senators
437 Jonathan Drouin	0.0702225426924871	Montréal Canadiens
438 Mark Kastelic	0.06407385888817323	Ottawa Senators
439 Juraj Slafkovsky	0.06370669580794433	Montréal Canadiens
440 Logan Couture	0.05979542878451818	San Jose Sharks
441 Shane Pinto	0.058768379532419084	Ottawa Senators
442 Jesse Puljujarvi	0.057757887243155066	Edmonton Oilers
443 Zack Kassian	0.05403359862912188	Arizona Coyotes
444 Jordan Kyrou	0.05372066700500285	St. Louis Blues
445 Jayson Megna	0.052945801333521864	Anaheim Ducks
446 Dryden Hunt	0.05233351830135682	Toronto Maple Leafs
447 Jonathan Toews	0.051577570271019856	Chicago Blackhawks
448 Brayden Schenn	0.05142762471927052	St. Louis Blues
449 Alexander Barabanov	0.05112896967097473	San Jose Sharks
450 Corey Perry	0.05024282138193054	Tampa Bay Lightning
451 Max Jones	0.049371232364496614	Anaheim Ducks
452 Jake Neighbours	0.04697895154316915	St. Louis Blues
453 Dakota Joshua	0.04656838396349036	Vancouver Canucks
454 Ryan Strome	0.04353227182883128	Anaheim Ducks
455 Trevor Zegras	0.04104659347623883	Anaheim Ducks
456 Sam Carrick	0.040090843110983466	Anaheim Ducks
457 Sean Kuraly	0.03915643824378525	Columbus Blue Jackets
458 Jakob Silfverberg	0.036910976267503795	Anaheim Ducks
459 Patrick Kane	0.03468669517764462	Chicago Blackhawks
460 Matt Nieto	0.03427792400448505	San Jose Sharks
461 Mathieu Olivier	0.03357372973446557	Columbus Blue Jackets
462 Liam Foudy	0.03239890815157108	Columbus Blue Jackets
463 Brett Leason	0.03163787182261314	Anaheim Ducks
464 Philipp Kurashev	0.025677763238170885	Chicago Blackhawks
465 Frank Vatrano	0.015633452366939405	Anaheim Ducks
466 Ryan O'Reilly	0.013317501989262608	St. Louis Blues
467 Drake Batherson	0.006761210207531252	Ottawa Senators
